SMILES,phase
CCCCC(NC(=O)C(CO)NC(=O)C(Cc1ccc(O)cc1)NC(=O)C(CO)NC(C)=O)C(=O)NC(CCC(=O)O)C(=O)NC(Cc1cnc[nH]1)C(=O)NC(Cc1ccccc1)C(=O)NC(CCCNC(=N)N)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NCC(=O)NC(CCCCN)C(=O)N1CCCC1C(=O)NC(C(N)=O)C(C)C,3
C=CC(=O)N1CCC(c2ccc(C(N)=O)c(-c3ccc(Oc4ccccc4)cc3)n2)CC1,3
O=c1[nH]c(=O)n(C2OC(CO)C(O)C2O)cc1C=CBr,3
CC(C)C(=O)OCC1OC(C#N)(c2ccc3c(N)ncnn23)C(OC(=O)C(C)C)C1OC(=O)C(C)C,3
CC(N)(c1ccc(F)cc1)c1cnc(N2CCN(c3ncnn4cc(-c5cnn(CCO)c5)cc34)CC2)nc1,3
CN1CCN(c2ccc(Nc3ncc4cc5n(c4n3)C3(CCCCC3)CNC5=O)nc2)CC1,3
CC(NC(=O)C(C)(C)Oc1ccc(C(F)(F)F)cn1)C(Cc1ccc(Cl)cc1)c1cccc(C#N)c1,3
CC(=Cc1ccccc1)C=C1SC(=S)N(CC(=O)O)C1=O,3
CC(=O)NC1C(OCCCCC(=O)NCCCNC(=O)CCOCC(COCCC(=O)NCCCNC(=O)CCCCOC2OC(CO)C(O)C(O)C2NC(C)=O)(COCCC(=O)NCCCNC(=O)CCCCOC2OC(CO)C(O)C(O)C2NC(C)=O)NC(=O)CCCCCCCCCCC(=O)N2CC(O)CC2COP(=O)(O)O)OC(CO)C(O)C1O,3
COc1c(O)c(C)c(CC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C)c(O)c1OC,3
CC(c1ccc2nccn2c1)n1nnc2ncc(-c3cnn(C)c3)nc21,3
CCC(C)C(CC)C(N)=O,3
O=C(c1cccnc1-c1ccncc1)N1CCC(O)(Cc2ccccc2)CC1,3
COc1ccc(F)cc1C(=O)NCc1ccc(-c2nn(C(C)C(F)(F)F)c(N)c2C(N)=O)cc1,3
CN(C)c1cccc(-c2c3c(=O)n(-c4ccccc4Cl)[nH]c3cc(=O)n2C)c1,3
CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c([N+](=O)[O-])cccc3nc2-1,3
O=c1sn(-c2cccc3ccccc23)c(=O)n1Cc1ccccc1,3
CN1CCC2(CC1)NCC(=O)N2Cc1ccccc1,3
CCC1CC(C(=O)NCCNC(=O)CCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC)CC(OC2OC(CO)C(O)C(OC(CC3CCCCC3)C(=O)O)C2NC(C)=O)C1OC1OC(C)C(O)C(O)C1O,3
CC1(C)OB(O)c2cc(NC(=O)c3ccc(F)cc3C(F)(F)F)ccc21,3
Cc1nc(C#Cc2ccnc(Cl)c2)c(C)n1-c1ccc(F)cc1,3
Cc1c(C(=O)O)ccc2c3n(nc12)C1C(C3)N(CC2CC2)C2(C(=O)Nc3cc(Cl)ccc32)C1c1cccc(Cl)c1F,3
Nc1ccc(F)cc1NC(=O)c1ccc(CNC(=O)C=Cc2cccnc2)cc1,3
COc1ccc(-c2sc3cc(O)ccc3c2Oc2ccc(OCCN3CCCCC3)cc2)cc1,3
C=CC(=O)N1CC2(CC(n3nc(-c4ccc5c(cnn5C)c4)c(-c4c(Cl)c(C)cc5[nH]ncc45)c3C)C2)C1,3
CC(C)C(C(=O)Nc1ccc(C(=O)NO)cc1)c1ccccc1,3
O=C1COc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,3
CC(O)C(=O)C1=Nc2c(nc(N)[nH]c2=O)NC1,3
COCCOC1C(OP(O)(=S)OCC2OC(n3cnc4c(N)ncnc43)C(OCCOC)C2OP(O)(=S)OCC2OC(n3cc(C)c(N)nc3=O)C(OCCOC)C2OP(O)(=S)OCC2OC(n3cc(C)c(=O)[nH]c3=O)C(OCCOC)C2OP(O)(=S)OCC2OC(n3cc(C)c(=O)[nH]c3=O)C(OCCOC)C2OP(O)(=S)OCC2OC(n3cc(C)c(=O)[nH]c3=O)C(OCCOC)C2OP(O)(=S)OCC2OC(n3cc(C)c(N)nc3=O)C(OCCOC)C2OP(O)(=S)OCC2OC(n3cnc4c(N)ncnc43)C(OCCOC)C2OP(O)(=S)OCC2OC(n3cc(C)c(=O)[nH]c3=O)C(OCCOC)C2OP(O)(=S)OCC2OC(n3cnc4c(N)ncnc43)C(OCCOC)C2OP(O)(=S)OCC2OC(n3cnc4c(N)ncnc43)C(OCCOC)C2OP(O)(=S)OCC2OC(n3cc(C)c(=O)[nH]c3=O)C(OCCOC)C2OP(O)(=S)OCC2OC(n3cnc4c(=O)[nH]c(N)nc43)C(OCCOC)C2OP(O)(=S)OCC2OC(n3cc(C)c(N)nc3=O)C(OCCOC)C2OP(O)(=S)OCC2OC(n3cc(C)c(=O)[nH]c3=O)C(OCCOC)C2OP(O)(=S)OCC2OC(n3cnc4c(=O)[nH]c(N)nc43)C(OCCOC)C2OP(O)(=S)OCC2OC(n3cnc4c(=O)[nH]c(N)nc43)C(OCCOC)C2O)C(COP(O)(=S)OC2C(CO)OC(n3cc(C)c(=O)[nH]c3=O)C2OCCOC)OC1n1cc(C)c(N)nc1=O,3
