,SMILES,Molskill
57,O=C(N[C@H]1CCC[C@@H]1OCC2=CC=C(C3=CC(CC4)=C([C@H]4N5CCN(CC(CO)O)CC5)C=C3)C=C2)C6=C(N)N=CC(C7=CC=C(F)N=C7)=C6,-3.8598094
58,O=C(N[C@H]1CCC[C@@H]1OCC2=CC=C(C3=CC(CC4)=C([C@H]4N5CCN(CCO)CC5)C=C3)C=C2)C6=C(N)N=CC(C7=CC=CN=C7F)=C6,-5.153587
59,O=C(N[C@H]1CCC[C@@H]1OCC2=CC=C(C3=CC(CC4)=C([C@H]4N5CCN(C[C@@H](CO)O)CC5)C=C3)C=C2)C6=C(N)N=CC(C7=CC=CN=C7F)=C6,-4.6113634
60,O=C(N[C@H]1CCC[C@@H]1OCC2=CC=C(C3=CC(CC4)=C([C@H]4N5CCN(C[C@H](CO)O)CC5)C=C3)C=C2)C6=C(N)N=CC(C7=CC=CN=C7F)=C6,-4.6113634
61,O=C(C1=C(N)N=CC(C2=CN(C)N=C2)=C1)N[C@H]3CCC[C@@H]3OCC4=CC=C(C5=CC=C([C@H](C(F)(F)F)N6CCN(C[C@@H](CO)O)CC6)C=C5)C=C4,3.8271055
62,O=C(C1=C(N)N=CC(C2=CN(C)N=C2)=C1)N[C@H]3CCC[C@@H]3OCC4=CC=C(C5=CC=C([C@H](C(F)(F)F)N6CCN(C[C@H](CO)O)CC6)C=C5)C=C4,3.8271055
63,O=C(C1=C(N)N=CC(C2=C(F)N=CC=C2)=C1)N[C@H]3CCC[C@@H]3OCC4=CC=C(C5=CC=C([C@H](C(F)(F)F)N6CCN(C[C@@H](CO)O)CC6)C=C5)C=C4,1.2556268
64,O=C(N[C@H]1CCC[C@@H]1OCC2=CC=C(C3=CC(CC4(F)F)=C([C@H]4N5CCN(CCO)CC5)C=C3)C=C2)C6=C(N)N=CC(C7=CN(C)N=C7)=C6,-8.502653
65,O=C(N[C@H]1CCC[C@@H]1OCC2=CC=C(C3=CC4=C([C@H](CCC4)N5CCN(C[C@@H](CO)O)CC5)C=C3)C=C2)C6=C(N)N=CC(C7=CC=CN=C7F)=C6,-1.0448217
66,O=C(NC[C@](O)(C1=CC2=C(OC[C@]2(C)N)C(C3=CC=C(F)C=C3)=N1)C(F)(F)F)C4=CC=C(OC[C@H](O)C)C(OC)=C4,8.215152
67,O=C(NC[C@](O)(C1=CC2=C(OC[C@]2(C)NS(=O)(C)=O)C(C3=CC=C(F)C=C3)=N1)C(F)(F)F)C4=CC=C(OC[C@H](O)C)C(OC)=C4,3.2074656
68,O=C(NC[C@](O)(C1=CC2=C(OC[C@@]2(NC(C)=O)C)C(C3=CC=C(F)C=C3)=N1)C(F)(F)F)C4=CC=C(OC[C@H](O)C)C(OC)=C4,-0.68208027
69,O=C(C1=CN2C(C(OC)=C1)=NC(CO)=C2)NC[C@](O)(C3=CC4=C(OC[C@]4(C)NS(=O)(C)=O)C(C5=CC=C(F)C=C5)=N3)C(F)(F)F,7.691708
70,O=C(C1=CC(OC)=C2N=C(N)SC2=C1)NC[C@](O)(C3=CC4=C(OC[C@]4(C)NS(=O)(C)=O)C(C5=CC=C(F)C=C5)=N3)C(F)(F)F,10.832762
